"","COUNTY","time_value","work_prop_7d","work_std","work_sample_size"
"237","NOBLE",2020-01-24,0.097886431062155,0.0063887183665223,84
"238","OTTAWA",2020-01-24,0.090080291267003,0.0031319472949267,301
"239","PAULDING",2020-01-24,0.10262043907862,0.0049224084136237,119
"240","PERRY",2020-01-24,0.090000318082726,0.0036389819169308,196
"241","PICKAWAY",2020-01-24,0.10240692385353,0.0033909119187258,250
"242","PIKE",2020-01-24,0.10157877238344,0.0046824090066798,154
"243","PORTAGE",2020-01-24,0.099885601477755,0.0019892825665266,707
"244","PREBLE",2020-01-24,0.1173028456519,0.00379011312955,238
"245","PUTNAM",2020-01-24,0.1059054258445,0.0040486862827704,189
"246","RICHLAND",2020-01-24,0.091088222600143,0.002146127901615,665
"247","ROSS",2020-01-24,0.097699012000171,0.002884761757273,434
"248","SANDUSKY",2020-01-24,0.089948072130783,0.002767857778148,413
"249","SCIOTO",2020-01-24,0.094084976679123,0.0025691498274803,511
"250","SENECA",2020-01-24,0.10058155738905,0.0031707982322623,399
"251","SHELBY",2020-01-24,0.10348065390963,0.0037612521677162,273
"252","STARK",2020-01-24,0.098799503700096,0.0013813906138658,1932
"253","SUMMIT",2020-01-24,0.095465663728207,0.0010777587112245,3157
"254","TRUMBULL",2020-01-24,0.087950901559706,0.0016210007474357,1351
"255","TUSCARAWAS",2020-01-24,0.10344406397536,0.0024747866485934,539
"256","UNION",2020-01-24,0.11966166933489,0.0041561537418938,203
"257","VAN WERT",2020-01-24,0.11686214244419,0.0043463513267398,196
"258","VINTON",2020-01-24,0.10185547257734,0.0068668592889674,84
"259","WARREN",2020-01-24,0.12139937117459,0.0022077217649307,756
"260","WASHINGTON",2020-01-24,0.096734819596312,0.00313857913378,329
"261","WAYNE",2020-01-24,0.10359625725934,0.0025487190030543,581
"262","WILLIAMS",2020-01-24,0.091099145414546,0.0032961161419098,252
"263","WOOD",2020-01-24,0.10810126419074,0.0023753048983826,630
"264","WYANDOT",2020-01-24,0.098716189460656,0.0049632534180084,154
"265","ADAMS",2020-01-25,0.085220882594135,0.0041469011696471,154
"266","ALLEN",2020-01-25,0.089789548507555,0.0022588768917884,640
"267","ASHLAND",2020-01-25,0.10745590884103,0.0032946662817689,308
"268","ASHTABULA",2020-01-25,0.080385758222444,0.00195211194375,651
"269","ATHENS",2020-01-25,0.091497722714325,0.0031623720700773,336
"270","AUGLAIZE",2020-01-25,0.11068693432372,0.0036492842565365,287
"271","BELMONT",2020-01-25,0.096310039442683,0.0027287917176602,476
"272","BROWN",2020-01-25,0.10572918687019,0.0044517260314484,224
"273","BUTLER",2020-01-25,0.10556040954531,0.0014069370236286,1869
"274","CARROLL",2020-01-25,0.10794212710718,0.004732157364578,175
"275","CHAMPAIGN",2020-01-25,0.10240945684408,0.0037547863164243,238
"276","CLARK",2020-01-25,0.091946746781235,0.0018896629073577,952
"277","CLERMONT",2020-01-25,0.11274290353081,0.0020283907986196,819
"278","CLINTON",2020-01-25,0.10324847850533,0.0039022289335308,224
"279","COLUMBIANA",2020-01-25,0.095713971664061,0.0021768780856991,658
"280","COSHOCTON",2020-01-25,0.09846271466902,0.0038672500955144,231
"281","CRAWFORD",2020-01-25,0.088806729317595,0.002833704879708,336
"282","CUYAHOGA",2020-01-25,0.086390092902666,0.00065177135138577,8107
"283","DARKE",2020-01-25,0.11242797965136,0.003356742597092,364
